eventId,epc_code,location_id,scan_location,business_step,event_type,event_time,file_id,is_anomaly,anomaly_type
16,001.8805843.9801566.752437.20250701.000000004,1,인천공장,Factory,Aggregation,2025-07-01 10:09:00,1,0,normal
17,001.8805843.9801566.752437.20250701.000000004,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 15:43:51,1,0,normal
18,001.8805843.9801566.752437.20250701.000000004,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 22:37:10,1,0,normal
19,001.8805843.9801566.752437.20250701.000000004,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:59:14,1,0,normal
20,001.8805843.9801566.752437.20250701.000000004,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 16:24:57,1,0,normal
21,001.8809437.3508829.792796.20250701.000000005,1,인천공장,Factory,Aggregation,2025-07-01 10:12:00,1,0,normal
22,001.8809437.3508829.792796.20250701.000000005,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 15:02:31,1,0,normal
23,001.8809437.3508829.792796.20250701.000000005,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 16:56:26,1,0,normal
24,001.8809437.3508829.792796.20250701.000000005,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 21:47:10,1,0,normal
25,001.8809437.3508829,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 07:40:26,1,1,epcFake
26,001.8804823.8708013.752789.20250701.000000006,1,인천공장,Factory,Aggregation,2025-07-01 10:15:00,1,0,normal
27,001.8804823.8708013.752789.20250701.000000006,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 13:59:10,1,0,normal
28,001.8804823.8708013.752789.20250701.000000006,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 19:28:25,1,0,normal
29,001.8804823.8708013.752789.20250701.000000006,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 00:26:46,1,0,normal
30,001.8804823.8708013.752789.20250701.000000006,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 05:10:24,1,0,normal
31,001.8809437.4681864.933525.20250701.000000007,1,인천공장,Factory,Aggregation,2025-07-01 10:18:00,1,0,normal
32,001.8809437.4681864.933525.20250701.000000007,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 17:21:30,1,0,normal
33,001.8809437.4681864.933525.20250701.000000007,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 21:00:48,1,0,normal
34,001.8809437.4681864.933525.20250701.000000007,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 06:53:26,1,1,locErr
35,001.8809437.4681864.933525.20250701.000000007,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 17:01:02,1,0,normal
36,001.8804823.8265673.263342.20250701.000000008,1,인천공장,Factory,Aggregation,2025-07-01 10:21:00,1,0,normal
37,001.8804823.8265673.263342.20250701.000000008,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 17:28:02,1,0,normal
38,001.8804823.8265673.263342.20250701.000000008,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 01:16:49,1,0,normal
39,001.8804823.8265673.263342.20250701.000000008,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 04:03:10,1,0,normal
40,001.8804823.8265673.263342.20250701.000000008,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 10:39:03,1,0,normal
41,001.8805843.9697681.290037.20250701.000000009,1,인천공장,Factory,Aggregation,2025-07-01 10:24:00,1,0,normal
42,001.8805843.9697681.290037.20250701.000000009,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:42:27,1,0,normal
43,001.8805843.9697681.290037.20250701.000000009,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 19:37:03,1,0,normal
44,001.8805843.9697681.290037.20250701.000000009,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 04:37:21,1,0,normal
45,001.8805843.9697681.290037.20250701.000000009,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 08:49:02,1,0,normal
46,001.8809437.6131103.715837.20250701.000000010,1,인천공장,Factory,Aggregation,2025-07-01 10:27:00,1,0,normal
47,001.8809437.6131103.715837.20250701.000000010,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 18:42:37,1,0,normal
48,001.8809437.6131103.715837.20250701.000000010,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 23:18:14,1,0,normal
49,001.8809437.6131103.715837.20250701.000000010,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 06:25:15,1,0,normal
50,001.8809437.6131103.715837.20250701.000000010,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 10:19:47,1,0,normal
51,001.8805843.5539579.573444.20250701.000000011,1,인천공장,Factory,Aggregation,2025-07-01 10:30:00,1,0,normal
52,001.8805843.5539579.573444.20250701.000000011,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:00:42,1,0,normal
53,001.8805843.5539579.573444.20250701.000000011,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 00:42:03,1,0,normal
54,001.8805843.5539579.573444.20250701.000000011,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:08:57,1,0,normal
55,001.8805843.5539579.573444.20250701.000000011,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 06:28:41,1,0,normal
56,001.8805843.5343472.468396.20250701.000000012,1,인천공장,Factory,Aggregation,2025-07-01 10:33:00,1,0,normal
57,001.8805843.5343472.468396.20250701.000000012,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 13:22:05,1,0,normal
58,001.8805843.5343472.468396.20250701.000000012,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 20:11:27,1,0,normal
59,001.8805843.5343472.468396.20250701.000000012,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 02:36:24,1,0,normal
60,001.8805843.5343472.468396.20250701.000000012,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 05:02:13,1,0,normal
61,001.8805843.8295301.631484.20250701.000000013,1,인천공장,Factory,Aggregation,2025-07-01 10:36:00,1,0,normal
62,001.8805843.8295301.631484.20250701.000000013,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 13:18:57,1,0,normal
63,001.8805843.8295301.631484.20250701.000000013,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 17:40:55,1,0,normal
64,001.8805843.8295301.631484.20250701.000000013,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 23:48:03,1,0,normal
65,001.8805843.8295301.631484.20250701.000000013,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 05:27:04,1,0,normal
66,001.8804823.3045782.325671.20250701.000000014,1,인천공장,Factory,Aggregation,2025-07-01 10:39:00,1,0,normal
67,001.8804823.3045782.325671.20250701.000000014,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 15:58:29,1,0,normal
68,001.8804823.3045782.325671.20250701.000000014,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 23:43:34,1,0,normal
69,001.8804823.3045782.325671.20250701.000000014,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 10:15:02,1,0,normal
70,001.8804823.3045782.325671.20250701.000000014,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 17:06:20,1,0,normal
71,001.8805843.3479962.138656.20250701.000000015,1,인천공장,Factory,Aggregation,2025-07-01 10:42:00,1,0,normal
72,001.8805843.3479962.138656.20250701.000000015,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:58:26,1,0,normal
73,001.8805843.3479962.138656.20250701.000000015,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 05:25:04,1,1,epcDup
74,001.8805843.3479962.138656.20250701.000000015,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:25:04,1,1,epcDup
75,001.8805843.3479962.138656.20250701.000000015,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 09:21:02,1,0,normal
76,001.8805843.8616916.920742.20250701.000000016,1,인천공장,Factory,Aggregation,2025-07-01 10:45:00,1,0,normal
77,001.8805843.8616916.920742.20250701.000000016,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 18:59:55,1,0,normal
78,001.8805843.8616916.920742.20250701.000000016,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 17:00:35,1,1,epcDup
79,001.8805843.8616916.920742.20250701.000000016,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 08:35:01,1,0,normal
80,001.8805843.8616916.920742.20250701.000000016,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 17:00:35,1,1,epcDup
81,001.8804823.7964625.309041.20250701.000000017,1,인천공장,Factory,Aggregation,2025-07-01 10:48:00,1,0,normal
82,001.8804823.7964625.309041.20250701.000000017,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 17:29:27,1,0,normal
83,001.8804823.7964625.309041.20250701.000000017,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 23:15:40,1,0,normal
84,001.8804823.7964625.309041.20250701.000000017,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 03:37:32,1,0,normal
85,001.8804823.7964625.309041.20250701.000000017,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 13:48:25,1,0,normal
86,001.8809437.9163370.904622.20250701.000000018,1,인천공장,Factory,Aggregation,2025-07-01 10:51:00,1,0,normal
87,001.8809437.9163370.904622.20250701.000000018,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 19:58:08,1,0,normal
88,001.8809437.9163370.904622.20250701.000000018,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 01:43:49,1,0,normal
89,001.8809437.9163370.904622.20250701.000000018,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 03:08:59,1,0,normal
90,001.8809437.9163370.904622.20250701.000000018,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 05:10:32,1,0,normal
91,001.8809437.5182358.843511.20250701.000000019,1,인천공장,Factory,Aggregation,2025-07-01 10:54:00,1,0,normal
92,INVALID_FORMAT_91,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 15:41:11,1,1,epcFake
93,001.8809437.5182358.843511.20250701.000000019,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 19:31:13,1,0,normal
94,001.8809437.5182358.843511.20250701.000000019,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 21:35:07,1,0,normal
95,001.8809437.5182358.843511.20250701.000000019,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 07:08:09,1,0,normal
96,INVALID_FORMAT_95,1,인천공장,Factory,Aggregation,2025-07-01 10:57:00,1,1,epcFake
97,001.8809437.8184407.482068.20250701.000000020,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 14:54:11,1,0,normal
98,001.8809437.8184407.482068.20250701.000000020,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 19:44:50,1,0,normal
99,001.8809437.8184407.482068.20250701.000000020,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 22:48:22,1,0,normal
100,001.8809437.8184407.482068.20250701.000000020,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-01 23:48:22,1,0,normal
101,001.8809437.5134448.522895.20250701.000000021,1,인천공장,Factory,Aggregation,2025-07-01 11:00:00,1,0,normal
102,001.8809437.5134448.522895.20250701.000000021,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 14:55:48,1,0,normal
103,001.8809437.5134448.522895.20250701.000000021,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 21:54:00,1,0,normal
104,001.8809437.5134448.522895.20250701.000000021,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 07:46:56,1,0,normal
105,001.8809437.5134448.522895.20250701.000000021,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 15:05:52,1,0,normal
106,001.8805843.5171301.360789.20250701.000000022,1,인천공장,Factory,Aggregation,2025-07-01 11:03:00,1,0,normal
107,001.8805843.5171301.360789.20250701.000000022,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 18:05:25,1,0,normal
108,001.8805843.5171301.360789.20250701.000000022,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 21:10:52,1,0,normal
109,001.8805843.5171301.360789.20250701.000000022,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 02:18:24,1,0,normal
110,001.8805843.5171301.360789.20250701.000000022,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 11:45:28,1,0,normal
111,001.8805843.2441615.245296.20250701.000000023,1,인천공장,Factory,Aggregation,2025-07-01 11:06:00,1,0,normal
112,001.8805843.2441615.245296.20250701.000000023,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 18:12:33,1,0,normal
113,001.8805843.2441615.245296.20250701.000000023,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 00:51:56,1,0,normal
114,001.8805843.2441615.245296.20250701.000000023,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:27:45,1,1,epcDup
115,001.8805843.2441615.245296.20250701.000000023,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 12:28:41,1,0,normal
116,INVALID_FORMAT_115,1,인천공장,Factory,Aggregation,2025-07-01 11:09:00,1,1,epcFake
117,001.8804823.3373071.847932.20250701.000000024,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:25:11,1,0,normal
118,001.8804823.3373071.847932.20250701.000000024,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 06:25:11,1,1,evtOrderErr
119,001.8804823.3373071.847932.20250701.000000024,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:11:12,1,0,normal
120,001.8804823.3373071.847932.20250701.000000024,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 06:16:10,1,0,normal
121,001.8804823.7666706.570458.20250701.000000025,1,인천공장,Factory,Aggregation,2025-07-01 11:12:00,1,0,normal
122,001.8804823.7666706.570458.20250701.000000025,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 14:18:42,1,0,normal
123,001.8804823.7666706.570458.20250701.000000025,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 20:33:26,1,0,normal
124,001.8804823.7666706.570458.20250701.000000025,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 00:38:50,1,0,normal
125,001.8804823.7666706.570458.20250701.000000025,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 08:32:18,1,0,normal
126,001.8804823.6851891.781480.20250701.000000026,1,인천공장,Factory,Aggregation,2025-07-01 11:15:00,1,0,normal
127,001.8804823.6851891.781480.20250701.000000026,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:36:27,1,0,normal
128,001.8804823.6851891.781480.20250701.000000026,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 22:52:32,1,0,normal
129,001.8804823.6851891.781480.20250701.000000026,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 04:14:46,1,0,normal
130,001.8804823.6851891.781480.20250701.000000026,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 08:31:00,1,0,normal
131,001.8805843.2486899.125591.20250701.000000027,1,인천공장,Factory,Aggregation,2025-07-01 11:18:00,1,0,normal
132,001.8805843.2486899.125591.20250701.000000027,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 14:25:26,1,0,normal
133,001.8805843.2486899.125591.20250701.000000027,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 16:11:05,1,0,normal
134,001.8805843.2486899.125591.20250701.000000027,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 21:04:08,1,0,normal
135,001.8805843.2486899.125591.20250701.000000027,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 03:27:33,1,0,normal
136,001.8805843.8959625.299033.20250701.000000028,1,인천공장,Factory,Aggregation,2025-07-01 11:21:00,1,0,normal
137,001.8805843.8959625.299033.20250701.000000028,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:01:32,1,0,normal
138,001.8805843.8959625.299033.20250701.000000028,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 21:30:08,1,0,normal
139,001.8805843.8959625.299033.20250701.000000028,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 01:36:33,1,0,normal
140,001.8805843.8959625.299033.20250701.000000028,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 07:50:18,1,0,normal
141,001.8805843.8443161.437299.20250701.000000029,1,인천공장,Factory,Aggregation,2025-07-01 11:24:00,1,0,normal
142,001.8805843.8443161.437299.20250701.000000029,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 13:24:01,1,0,normal
143,001.8805843.8443161.437299.20250701.000000029,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 19:01:43,1,0,normal
144,001.8805843.8443161.437299.20250701.000000029,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 18:01:43,1,1,evtOrderErr
145,001.8805843.8443161.437299.20250701.000000029,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 02:44:10,1,0,normal
146,001.8809437.3882925.936903.20250701.000000030,1,인천공장,Factory,Aggregation,2025-07-01 11:27:00,1,0,normal
147,001.8809437.3882925.936903.20250701.000000030,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 13:07:44,1,0,normal
148,001.8809437.3882925.936903.20250701.000000030,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 19:45:52,1,0,normal
149,001.8809437.3882925.936903.20250701.000000030,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 21:43:55,1,0,normal
150,001.8809437.3882925.936903.20250701.000000030,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 02:03:12,1,0,normal
151,001.8809437.3074418.983808.20250701.000000031,1,인천공장,Factory,Aggregation,2025-07-01 11:30:00,1,0,normal
152,001.8809437.3074418.983808.20250701.000000031,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 20:10:59,1,0,normal
153,001.8809437.3074418.983808.20250701.000000031,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 01:12:51,1,0,normal
154,001.8809437.3074418.983808.20250701.000000031,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:17:05,1,0,normal
155,001.8809437.3074418.983808.20250701.000000031,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 06:17:05,1,0,normal
156,001.8805843.6211544.597593.20250701.000000032,1,인천공장,Factory,Aggregation,2025-07-01 11:33:00,1,0,normal
157,001.8805843.6211544.597593.20250701.000000032,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 18:46:23,1,0,normal
158,001.8805843.6211544.597593.20250701.000000032,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 00:01:58,1,0,normal
159,001.8805843.6211544.597593.20250701.000000032,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 06:13:42,1,0,normal
160,001.8805843.6211544.597593.20250701.000000032,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 10:16:30,1,0,normal
161,001.8805843.6335535.249089.20250701.000000033,1,인천공장,Factory,Aggregation,2025-07-01 11:36:00,1,0,normal
162,001.8805843.6335535.249089.20250701.000000033,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:11:30,1,0,normal
163,001.8805843.6335535.249089.20250701.000000033,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 23:37:32,1,0,normal
164,001.8805843.6335535.249089.20250701.000000033,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 06:59:47,1,0,normal
165,001.8805843.6335535.249089.20250701.000000033,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 12:13:38,1,0,normal
166,001.8805843.3654191.208587.20250701.000000034,1,인천공장,Factory,Aggregation,2025-07-01 11:39:00,1,0,normal
167,001.8805843.3654191.208587.20250701.000000034,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:13:10,1,0,normal
168,001.8805843.3654191.208587.20250701.000000034,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 22:59:10,1,0,normal
169,001.8805843.3654191.208587.20250701.000000034,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 02:37:16,1,0,normal
170,001.8805843.3654191.208587.20250701.000000034,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 05:46:07,1,0,normal
171,001.8804823.7846144.513458.20250701.000000035,1,인천공장,Factory,Aggregation,2025-07-01 11:42:00,1,0,normal
172,001.8804823.7846144.513458.20250701.000000035,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 18:52:52,1,0,normal
173,001.8804823.7846144.513458.20250701.000000035,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 01:15:52,1,0,normal
174,001.8804823.7846144.513458.20250701.000000035,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 07:08:09,1,0,normal
175,001.8804823.7846144.513458.20250701.000000035,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 12:17:10,1,0,normal
176,001.8804823.5271497.719529.20250701.000000036,1,인천공장,Factory,Aggregation,2025-07-01 11:45:00,1,0,normal
177,001.8804823.5271497.719529.20250701.000000036,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:11:13,1,0,normal
178,001.8804823.5271497.719529.20250701.000000036,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-02 00:28:12,1,0,normal
179,001.8804823.5271497.719529.20250701.000000036,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 05:24:18,1,1,epcFake
180,001.8804823.5271497.719529.20250701.000000036,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 06:47:02,1,0,normal
181,001.8804823.4939261.498335.20250701.000000037,1,인천공장,Factory,Aggregation,2025-07-01 11:48:00,1,0,normal
182,001.8804823.4939261.498335.20250701.000000037,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 19:39:13,1,0,normal
183,001.8804823.4939261.498335.20250701.000000037,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 21:12:00,1,0,normal
184,001.8804823.4939261.498335.20250701.000000037,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 03:22:19,1,0,normal
185,001.8804823.4939261.498335.20250701.000000037,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 07:39:57,1,0,normal
186,001.8809437.2748864.146049.20250701.000000038,1,인천공장,Factory,Aggregation,2025-07-01 11:51:00,1,0,normal
187,001.8809437.2748864.146049.20250701.000000038,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 17:24:13,1,0,normal
188,001.8809437.2748864.146049.20250701.000000038,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 22:55:36,1,1,epcDup
189,001.8809437.2748864.146049.20250701.000000038,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 04:33:20,1,0,normal
190,001.8809437.2748864.146049.20250701.000000038,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-01 22:55:36,1,1,epcDup
191,001.8809437.7985590.990517.20250701.000000039,1,인천공장,Factory,Aggregation,2025-07-01 11:54:00,1,0,normal
192,001.8809437.7985590.990517.20250701.000000039,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 15:44:17,1,0,normal
193,001.8809437.7985590.990517.20250701.000000039,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 20:43:32,1,0,normal
194,001.8809437.7985590.990517.20250701.000000039,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 01:57:33,1,0,normal
195,001.8809437.7985590.990517.20250701.000000039,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-01 22:57:33,1,1,evtOrderErr
